Tecnicas;Design Role;Classe;Método;LOC;CC;Efferent;NOP;Problema de Design;Deveria ser REFATORADO por conta desse problema?; Se DISCORDAR, quais os motivos? 
 V ;TRANSACAO;br.gov.se.sefaz.sae.talonario.to.alterar.AlterarTalaoDAEManual;process;50;6;19;0;Muitos Desvios;(1) Discordo Fortemente;;
 A, R, D, V, X ;UNDEFINED;br.gov.se.sefaz.sae.ti.SAEIntegracaoSAP;gerarDAE;3;1;6;8;Muitos Parametros;(1) Discordo Fortemente;;
 V ;TRANSACAO;br.gov.se.sefaz.sae.custodiais.to.tipoDocumentoSituacao.AlterarTipoDocumentoSituacao;process;36;9;12;0;Muitos Desvios;(1) Discordo Fortemente;;
 D, V ;TRANSACAO;br.gov.se.sefaz.sae.emissaoDAE.to.TransacaoEmissaoDAE;atribuirSourceToResultICMSContribuiteInscrito;47;10;10;2;Muitos Parametros;(1) Discordo Fortemente;;
 V ;TRANSACAO;br.gov.se.sefaz.sae.oper.to.alteracao.gnre.AlterarGNREConfirmar;initialize;43;9;8;0;Muitos Desvios;(1) Discordo Fortemente;;
 V ;BACKGROUNDPROCESS;br.gov.se.sefaz.sae.tb.arquivo.ProcessarArquivoRecebidoBase;inicializarArquivo;45;7;9;0;Alto Acoplamento Efferent;(1) Discordo Fortemente;;
 A, V, X ;TRANSACAO;br.gov.se.sefaz.sae.emissaoDAE.to.daeAvulso.contribuinteNaoInscrito.AlterarItemDAE;process;83;28;14;0;Alto Acoplamento Efferent;(1) Discordo Fortemente;;
 A, V, X ;GERENCIADORBASE;br.gov.se.sefaz.sae.ng.GerenciadorIsencaoTributos;atualizarTpSolicitantePorChassi;4;1;3;4;Muitos Parametros;(1) Discordo Fortemente;;
 V ;TRANSACAO;br.gov.se.sefaz.sae.conciliacaoBancaria.to.base.ConfirmarAlteracaoValorParametro;initialize;26;2;4;0;Metodo Longo;(1) Discordo Fortemente;;
 V ;BACKGROUNDPROCESS;br.gov.se.sefaz.sae.tb.correcao.CorrigirDadosGNRE;verificaCamposAlterados;58;16;7;6;Muitos Desvios;(1) Discordo Fortemente;;
